GlobalRank,CompanyName,Sector,HQLocation,lat,lng,Revenues,Profits,Employees
1,Walmart,Retailing,"Bentonville, AR",36.3728538,-94.2088172,485651,16363,2200000
2,Sinopec Group,Energy,"Beijing, China",39.904211,116.407395,446811,5177,897488
3,Royal Dutch Shell,Energy,"The Hague, Netherlands",52.0704978,4.3006999,431344,14874,94000
4,China National Petroleum,Energy,"Beijing, China",39.904211,116.407395,428620,16359,1636532
5,Exxon Mobil,Energy,"Irving, TX",32.8140177,-96.9488945,382597,32520,83700
6,BP,Energy,"London, Britain",51.5073509,-0.1277583,358678,3780,84500
7,State Grid,Energy,"Beijing, China",39.904211,116.407395,339426,9796,921964
8,Volkswagen,Motor Vehicles & Parts,"Wolfsburg, Germany",52.4226503,10.7865461,268566,14571,592586
9,Toyota Motor,Motor Vehicles & Parts,"Toyota, Japan",35.0823947,137.1562491,247702,19766,344109
10,Glencore,Energy,"Baar, Switzerland",47.1953729,8.526087,221073,2308,106831
11,Total,Energy,"Courbevoie, France",48.900552,2.25929,212018,4244,100307
12,Chevron,Energy,"San Ramon, CA",37.7799273,-121.9780153,203784,19241,64700
13,Samsung Electronics,Technology,"Suwon, South Korea",37.2635727,127.0286009,195845,21922,307000
14,Berkshire Hathaway,Financials,"Omaha, NE",41.2523634,-95.9979883,194673,19872,316000
15,Apple,Technology,"Cupertino, CA",37.3229978,-122.0321823,182795,39510,97200
16,McKesson,Health Care,"San Francisco, CA",37.7749295,-122.4194155,181241,1476,70400
17,Daimler,Motor Vehicles & Parts,"Stuttgart, Germany",48.7758459,9.1829321,172279,9235,279972
18,Industrial & Commer. Bank of China,Financials,"Beijing, China",39.904211,116.407395,163174,44763,462282
19,EXOR Group,Motor Vehicles & Parts,"Turin, Italy",45.070312,7.6868565,162163,428,318562
20,AXA,Financials,"Paris, France",48.856614,2.3522219,161173,6664,96279
21,General Motors,Motor Vehicles & Parts,"Detroit, MI",42.331427,-83.0457538,155929,3949,216000
22,E.ON,Energy,"DÂ¸sseldorf, Germany",51.2277411,6.7734556,151460,-4191,58503
